Genotype ,PLOT ID,REP,Fresh Weight,Leaf Area,SPAD 1,SPAD 2 ,SPAD 3,Field Location,Growth Stage,Source
LH123HT x 3IIH6,5150,2,4.7,200.1,50.9,45,51.7,HIPS,1,GH
B14A x Mo17,5152,1,5.95,265.2,45.8,54.3,55.2,HIPS,1,GH
B14A x Mo17,5152,2,5.3,226.9,45.7,52.6,58.4,HIPS,1,GH
B37 x Mo17,5153,1,5.25,242.1,45.9,44,49.6,HIPS,1,GH
B37 x Mo17,5153,2,6.8,272.2,50,51.9,51.5,HIPS,1,GH
B73 x 3IIH6,5154,1,2.5,109.3,42.4,46,49.8,HIPS,1,GH
B73 x 3IIH6,5154,2,4.4,198.8,50,46.6,47.9,HIPS,1,GH
F42 x OH43,5160,1,4.9,212.9,45.9,54.4,57.3,HIPS,1,GH
F42 x OH43,5160,2,8.05,336.6,47.2,58.2,60.4,HIPS,1,GH
B84 x 3IIH6,5161,1,6.4,252,50.5,54.1,58,HIPS,1,GH
B84 x 3IIH6,5161,2,4.1,189.9,49.5,52.3,52.6,HIPS,1,GH
B37 x OH43,5162,1,6.15,244.8,55.2,56.2,49.2,HIPS,1,GH
B37 x OH43,5162,2,5.1,240,49.2,44.8,52.2,HIPS,1,GH
B73 x Mo17,5176,1,4.6,211,47.6,49.6,52.3,HIPS,1,GH
B73 x Mo17,5176,2,3.4,171.8,34,39.2,47.4,HIPS,1,GH
PHK76 x LH82,5182,1,1.5,92.7,32.3,37.3,36,HIPS,1,GH
PHK76 x LH82,5182,2,1.4,90,46.7,44.9,45.1,HIPS,1,GH
2FACC x 3IIH6,5201,1,9.15,314.1,53.6,58,55.9,HIPS,1,GH
2FACC x 3IIH6,5201,2,6,233.1,50.6,51.6,54.9,HIPS,1,GH
PHK76 x LH82,5206,1,7,319.8,54.4,50.8,59.1,HIPS,1,GH
PHK76 x LH82,5206,2,8,337.4,46.5,57.6,51.9,HIPS,1,GH
B37 x OH43,5210,1,9.05,376.3,43.9,62.4,57,HIPS,1,GH
B37 x OH43,5210,2,7.9,236.1,48.5,54.1,57.6,HIPS,1,GH
B84 x 3IIH6,5211,1,9,314.1,46.8,58.4,57.5,HIPS,1,GH
B84 x 3IIH6,5211,2,9.5,347.6,46.7,65.4,58,HIPS,1,GH
B37 x Mo17,5216,1,6.6,292.9,47.5,42.2,50.2,HIPS,1,GH
B37 x Mo17,5216,2,9.1,373,46.5,54.4,49.4,HIPS,1,GH
F42 x OH43,5220,1,7.35,301.7,48.9,54.5,56.5,HIPS,1,GH
F42 x OH43,5220,2,8.5,357.5,46.8,56.5,56.2,HIPS,1,GH
PHZ51 x LH145,5227,1,8.05,297.7,48.3,50.6,51.8,HIPS,1,GH
PHZ51 x LH145,5227,2,5.6,253,44.9,48,45.8,HIPS,1,GH
B14A x Mo17,5237,1,9.1,343.8,55.5,55.3,54.1,HIPS,1,GH
B14A x Mo17,5237,2,6.95,274.3,52.1,51.6,58,HIPS,1,GH
WF9 x H95,5238,1,6.9,275.1,48.7,53.5,52.3,HIPS,1,GH
WF9 x H95,5238,2,5.7,240.6,47.5,51,52.2,HIPS,1,GH
PHK76 x 3IIH6,5240,1,2.95,131.8,47.1,46.3,48.5,HIPS,1,GH
PHK76 x 3IIH6,5240,2,7.7,305.3,56.4,52.7,49.7,HIPS,1,GH
PHK76 x LH145,5243,1,5.15,219.9,50.2,52.6,55,HIPS,1,GH
PHK76 x LH145,5243,2,4.65,212.6,46,52.3,52.6,HIPS,1,GH
B73 x Mo17,5245,1,5.85,263.9,46.4,48.9,54.2,HIPS,1,GH
B73 x Mo17,5245,2,8.75,328.7,44.8,56.5,57.8,HIPS,1,GH
PHJ40 x LH82,5247,1,5.2,267.2,39.4,46.1,36,HIPS,1,GH
