Genotype ,PLOT ID,Rep,Field Location,Growth Stage,Fresh Weight,Leaf Area
WF9 x H95,5238,2,HIPS,1,5.7,240.6
PHK76 x 3IIH6,5240,1,HIPS,1,2.95,131.8
PHK76 x 3IIH6,5240,2,HIPS,1,7.7,305.3
PHK76 x LH145,5243,1,HIPS,1,5.15,219.9
PHK76 x LH145,5243,2,HIPS,1,4.65,212.6
B73 x Mo17,5245,1,HIPS,1,5.85,263.9
B73 x Mo17,5245,2,HIPS,1,8.75,328.7
PHJ40 x LH82,5247,1,HIPS,1,5.2,267.2
PHJ40 x LH82,5247,2,HIPS,1,6.3,306.6
LH123HT x 3IIH6,5249,1,HIPS,1,5.85,282.1
LH123HT x 3IIH6,5249,2,HIPS,1,5.2,248.4
B73 x 3IIH6,5261,1,HIPS,1,8.6,309
B73 x 3IIH6,5261,2,HIPS,1,7.8,320.5
B37 x H95,5268,1,HIPS,1,8.7,576.1
B37 x H95,5268,2,HIPS,1,9.6,390.1
F42 x Mo17,5270,1,HIPS,1,6,253
F42 x Mo17,5270,2,HIPS,1,6.15,264.3
B73 x PHZ51,5272,1,HIPS,1,3.7,172.5
B73 x PHZ51,5272,2,HIPS,1,5.55,224.5
PHK76 x 3IIH6,6110,1,HIPS,1,5.65,263.1
PHK76 x 3IIH6,6110,2,HIPS,1,6.1,260.1
B73 x PHZ51,6111,1,HIPS,1,5.15,216.6
B73 x PHZ51,6111,2,HIPS,1,7.25,287.3
WF9 x H95,6116,1,HIPS,1,4.85,253.5
WF9 x H95,6116,2,HIPS,1,5.35,277.1
PHJ40 x LH82,6122,1,HIPS,1,8.3,368.4
PHJ40 x LH82,6122,2,HIPS,1,5.3,257.5
F42 x OH43,6127,1,HIPS,1,7.2,308.7
F42 x OH43,6127,2,HIPS,1,6.5,287.6
LH123HT x 3IIH6,6128,1,HIPS,1,8.05,340.1
LH123HT x 3IIH6,6128,2,HIPS,1,7.5,298.3
PHZ51 x LH145,6132,1,HIPS,1,3.25,169.8
PHZ51 x LH145,6132,2,HIPS,1,3.85,180.8
B84 x 3IIH6,6134,1,HIPS,1,7.7,285.2
B84 x 3IIH6,6134,2,HIPS,1,7.95,273.6
F42 x Mo17,6137,1,HIPS,1,3.45,164.6
F42 x Mo17,6137,2,HIPS,1,7.55,306.1
B14A x Mo17,6140,1,HIPS,1,6.6,268.6
B14A x Mo17,6140,2,HIPS,1,6,258.4
PHK76 x LH145,6143,1,HIPS,1,2.9,139.7
PHK76 x LH145,6143,2,HIPS,1,4,185.2
B73 x 3IIH6,6149,1,HIPS,1,3.95,178.4
B73 x 3IIH6,6149,2,HIPS,1,4,173
B37 x OH43,6153,1,HIPS,1,6.65,285.9
B37 x OH43,6153,2,HIPS,1,4.75,196.5
B37 x Mo17,6155,1,HIPS,1,7.8,301.1
B37 x Mo17,6155,2,HIPS,1,6.8,282.3
B37 x H95,6158,1,HIPS,1,4.2,196.6
B37 x H95,6158,2,HIPS,1,4.15,203.3
2FACC x 3IIH6,6159,1,HIPS,1,7.4,302.3
2FACC x 3IIH6,6159,2,HIPS,1,8.35,301.1
B73 x Mo17,6162,1,HIPS,1,5,225.4
B73 x Mo17,6162,2,HIPS,1,9.5,368.4
PHK76 x LH82,6170,1,HIPS,1,6.89,403.9
PHK76 x LH82,6170,2,HIPS,1,7.48,426.5
PHK76 x LH82,6174,1,HIPS,1,4.25,211.2
PHK76 x LH82,6174,2,HIPS,1,4.05,193.5
PHJ40 x LH82,6184,1,HIPS,1,6.3,289.9
PHJ40 x LH82,6184,2,HIPS,1,4.5,227.8
PHK76 x LH145,6210,1,HIPS,1,7.1,316.4
PHK76 x LH145,6210,2,HIPS,1,4.4,222.4
PHK76 x 3IIH6,6219,1,HIPS,1,6.1,264.6
PHK76 x 3IIH6,6219,2,HIPS,1,7.35,353.1
F42 x Mo17,6223,1,HIPS,1,7.35,308.6
F42 x Mo17,6223,2,HIPS,1,6.65,273.1
2FACC x 3IIH6,6226,1,HIPS,1,6.2,232.3
2FACC x 3IIH6,6226,2,HIPS,1,7,232.6
B73 x Mo17,6238,1,HIPS,1,6.5,276.8
B73 x Mo17,6238,2,HIPS,1,6.7,266.2
B84 x 3IIH6,6241,1,HIPS,1,6.8,262.9
B84 x 3IIH6,6241,2,HIPS,1,5.8,216.3
B73 x PHZ51,6247,1,HIPS,1,3.15,145.4
B73 x PHZ51,6247,2,HIPS,1,3.65,188.1
LH123HT x 3IIH6,6255,1,HIPS,1,4.3,196.1
LH123HT x 3IIH6,6255,2,HIPS,1,4.1,179.4
B14A x Mo17,6261,1,HIPS,1,6.2,278.3
B14A x Mo17,6261,2,HIPS,1,6.7,276.1
B37 x Mo17,6262,1,HIPS,1,5.45,249.4
B37 x Mo17,6262,2,HIPS,1,5.8,259
WF9 x H95,6263,1,HIPS,1,7.2,303.6
WF9 x H95,6263,2,HIPS,1,7.2,317.3
B37 x OH43,6267,1,HIPS,1,4.4,190.5
B37 x OH43,6267,2,HIPS,1,5.15,233.6
B73 x 3IIH6,6268,1,HIPS,1,7,294
