Genotype ,Plot_ID,Rep,Location,Growth_Stage,Fresh_Weight,Leaf_Area,SPAD_1,SPAD_2 ,SPAD_3,SLA
PHJ40 x LH82,5135,2,HIPS,1,6.4,268,35.2,53,37.2,
2FACC x 3IIH6,5144,1,HIPS,1,6.7,267.3,50.3,58.5,60.3,
2FACC x 3IIH6,5144,2,HIPS,1,7.65,297.1,50,57.7,53.3,
B73 x PHZ51,5147,1,HIPS,1,3.75,172.7,45.9,49.6,51.3,
B73 x PHZ51,5147,2,HIPS,1,5.2,226.1,46.1,58.9,56.4,
LH123HT x 3IIH6,5150,1,HIPS,1,4.15,172.8,44.1,46.6,48.9,
LH123HT x 3IIH6,5150,2,HIPS,1,4.7,200.1,50.9,45,51.7,
B14A x Mo17,5152,1,HIPS,1,5.95,265.2,45.8,54.3,55.2,
B14A x Mo17,5152,2,HIPS,1,5.3,226.9,45.7,52.6,58.4,
B37 x Mo17,5153,1,HIPS,1,5.25,242.1,45.9,44,49.6,
B37 x Mo17,5153,2,HIPS,1,6.8,272.2,50,51.9,51.5,
B73 x 3IIH6,5154,1,HIPS,1,2.5,109.3,42.4,46,49.8,
B73 x 3IIH6,5154,2,HIPS,1,4.4,198.8,50,46.6,47.9,
F42 x OH43,5160,1,HIPS,1,4.9,212.9,45.9,54.4,57.3,
F42 x OH43,5160,2,HIPS,1,8.05,336.6,47.2,58.2,60.4,
B84 x 3IIH6,5161,1,HIPS,1,6.4,252,50.5,54.1,58,
B84 x 3IIH6,5161,2,HIPS,1,4.1,189.9,49.5,52.3,52.6,
B37 x OH43,5162,1,HIPS,1,6.15,244.8,55.2,56.2,49.2,
B37 x OH43,5162,2,HIPS,1,5.1,240,49.2,44.8,52.2,
B73 x Mo17,5176,1,HIPS,1,4.6,211,47.6,49.6,52.3,
B73 x Mo17,5176,2,HIPS,1,3.4,171.8,34,39.2,47.4,
PHK76 x LH82,5182,1,HIPS,1,1.5,92.7,32.3,37.3,36,
PHK76 x LH82,5182,2,HIPS,1,1.4,90,46.7,44.9,45.1,
2FACC x 3IIH6,5201,1,HIPS,1,9.15,314.1,53.6,58,55.9,
2FACC x 3IIH6,5201,2,HIPS,1,6,233.1,50.6,51.6,54.9,
